id,job_title,role_category,experience_level,must_have_weighted,good_to_have_weighted,nice_to_have_weighted,core_concepts_weighted
1,Python Developer,Backend,Fresher / 0-2 years,Python:10|OOP:9|Data Structures:8|Algorithms:7|SQL:6|Git:5|REST APIs:5|Linux:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
2,Python Developer,Backend,Mid-level / 2-5 years,Python:10|OOP:9|Data Structures:8|Algorithms:7|SQL:6|Git:5|REST APIs:5|Linux:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
3,Python Developer,Backend,Senior / 5+ years,Python:10|OOP:9|Data Structures:8|Algorithms:7|SQL:6|Git:5|REST APIs:5|Linux:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
4,Django Developer,Backend,Fresher / 0-2 years,Python:10|Django:9|SQL:8|Git:7|REST APIs:6|HTML:5|CSS:5|OOP:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
5,Django Developer,Backend,Mid-level / 2-5 years,Python:10|Django:9|SQL:8|Git:7|REST APIs:6|HTML:5|CSS:5|OOP:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
6,Django Developer,Backend,Senior / 5+ years,Python:10|Django:9|SQL:8|Git:7|REST APIs:6|HTML:5|CSS:5|OOP:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
7,Java Developer,Backend,Fresher / 0-2 years,Java:10|OOP:9|Data Structures:8|Algorithms:7|SQL:6|Git:5|REST APIs:5|Collections:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
8,Java Developer,Backend,Mid-level / 2-5 years,Java:10|OOP:9|Data Structures:8|Algorithms:7|SQL:6|Git:5|REST APIs:5|Collections:5|Docker:5|Unit Testing:5,PostgreSQL:8|Redis:7|CI/CD:7|System Design Basics:7,AWS:7|Kubernetes:7|GraphQL:6,System Design:8|REST Architecture:8|SOLID Principles:8
9,Java Developer,Backend,Senior / 5+ years,Java:10|OOP:9|Data Structures:8|Algorithms:7|SQL:6|Git:5|REST APIs:5|Collections:5|System Design:5|Microservices:5,CI/CD:8|Docker:8|PostgreSQL:8,AWS:8|Kubernetes:8|Kafka:7,Distributed Systems:9|Scalability:9|System Design:9
10,Spring Boot Developer,Backend,Fresher / 0-2 years,Java:10|Spring Boot:9|REST APIs:8|SQL:7|Git:6|Maven:5|Hibernate:5|OOP:5,PostgreSQL:7|Docker:7|Unit Testing:6|Debugging:6,AWS:6|Redis:6|GraphQL:6|CI/CD:6,OOP Principles:8|REST Architecture:8|MVC Pattern:7
